;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
31;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone;mouse;BALB/c;female;200,00;;n/a;n/a;3;24;n/a;n/a;months;10.1038/s41418-019-0467-6;n/a;;;;;
32;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone diaphyseal part;mouse;BALB/c;female;150,00;;n/a;n/a;3;24;n/a;n/a;months;10.1038/s41418-019-0467-6;n/a;;;;;
33;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone diaphyseal part;mouse;BALB/c;female;1 900,00;;n/a;n/a;3;24;n/a;n/a;months;10.1038/s41418-019-0467-6;n/a;;;;;
34;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone epiphyseal part;mouse;BALB/c;female;300,00;;n/a;n/a;3;24;n/a;n/a;months;10.1038/s41418-019-0467-6;n/a;;;;;
35;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone epiphyseal part;mouse;BALB/c;female;150,00;;n/a;n/a;3;24;n/a;n/a;months;10.1038/s41418-019-0467-6;n/a;;;;;
36;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone marrow;mouse;CD-1;male;70,00;;n/a;n/a;2;12;n/a;n/a;months;10.1152/ajprenal.00328.2018;n/a;;;;;
37;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone marrow;mouse;CD-1;male;180,00;;n/a;n/a;2;24;n/a;n/a;months;10.1152/ajprenal.00328.2018;n/a;;;;;
38;Cdkn1a;CDKN1A;increase;increased gene expression;mRNA;bone metaphyseal part;mouse;CD-1;male;250,00;;n/a;n/a;2;24;n/a;n/a;months;10.1152/ajprenal.00328.2018;n/a;;;;;
39;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;bone metaphyseal part;mouse;CB6F1;female;185,00;;n/a;n/a;4;12;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
40;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;225,00;;n/a;n/a;4;24;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
41;Cdkn2a;CDKN2A;increase;increased gene expression;mRNA;brain;mouse;CB6F1;female;650,00;;n/a;n/a;4;30;n/a;n/a;months;10.3389/fgene.2018.00059;n/a;;;;;
