;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
#ÑÑÛËÊÀ!;Grsf1;GRSF1;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6;both;-95,00;;n/a;n/a;4;32;n/a;n/a;months;10.1038/s41598-019-42064-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gsk3b;GSK3B;decrease;decreased gene expression;mRNA;heart;mouse;BALB/c;n/a;n/a;;n/a;n/a;3.5;20;n/a;n/a;months;10.1111/j.1474-9726.2011.00730.x;n/a;;;;;
#ÑÑÛËÊÀ!;Gsr;GSR;increase;increased gene expression;mRNA;heart;mouse;C57BL/6;male;50,00;;n/a;n/a;6;23;n/a;n/a;months;10.1152/ajpendo.00059.2011;n/a;;;;;
#ÑÑÛËÊÀ!;Hbp1;HBP1;increase;increased gene expression;mRNA;heart;mouse;C57BL/6;both;160,00;;n/a;n/a;5;25;n/a;n/a;months;10.1111/acel.12701;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac1;HDAC1;increase;increased gene expression;mRNA;heart;mouse;C57BL/6;both;40,00;;n/a;n/a;3;18;n/a;n/a;months;10.1111/jcmm.13169;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac1;HDAC1;increase;increased gene expression;mRNA;heart;mouse;C57BL/6;both;48,00;;n/a;n/a;6;20;n/a;n/a;months;10.18632/aging.101589;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac2;HDAC2;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6J ? 129/Sv;both;-82,00;<0.01;n/a;n/a;0;8;n/a;n/a;weeks;10.1007/s00418-018-1687-4;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac2;HDAC2;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6J ? 129/Sv;both;-73,00;<0.05;n/a;n/a;8;104;n/a;n/a;weeks;10.1007/s00418-018-1687-4;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac2;HDAC2;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6;n/a;n/a;;n/a;n/a;3;16;n/a;n/a;months;10.1126/science.1186088;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac3;HDAC3;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6J ? 129/Sv;both;-60,00;<0.05;n/a;n/a;0;8;n/a;n/a;weeks;10.1007/s00418-018-1687-4;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac3;HDAC3;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6J ? 129/Sv;both;-80,00;<0.01;n/a;n/a;8;104;n/a;n/a;weeks;10.1007/s00418-018-1687-4;n/a;;;;;
#ÑÑÛËÊÀ!;Hdac3;HDAC3;decrease;reduced protein activity;mRNA;heart;mouse;C57BL/6;n/a;n/a;;n/a;n/a;3;21;n/a;n/a;months;10.1016/j.celrep.2014.09.048;n/a;;;;;
#ÑÑÛËÊÀ!;Hoxb7;HOXB7;decrease;decreased gene expression;mRNA;heart;mouse;FVB/N;both;-53,00;<0.05;n/a;n/a;11;90;n/a;n/a;days;10.1002/stem.1897;n/a;;;;;
#ÑÑÛËÊÀ!;Hoxb7;HOXB7;decrease;decreased gene expression;mRNA;heart;mouse;FVB/N;both;-65,50;<0.05;n/a;n/a;11;180;n/a;n/a;days;10.1002/stem.1897;n/a;;;;;
#ÑÑÛËÊÀ!;Hoxb7;HOXB7;decrease;decreased gene expression;mRNA;heart;mouse;FVB/N;both;-86,00;<0.05;n/a;n/a;11;90;n/a;n/a;days;10.1002/stem.1897;n/a;;;;;
#ÑÑÛËÊÀ!;Hoxb7;HOXB7;decrease;decreased gene expression;mRNA;heart;mouse;FVB/N;both;-93,00;<0.05;n/a;n/a;11;180;n/a;n/a;days;10.1002/stem.1897;n/a;;;;;
#ÑÑÛËÊÀ!;Hoxb7;HOXB7;decrease;decreased gene expression;mRNA;heart;mouse;FVB/N;both;-87,00;<0.05;n/a;n/a;11;90;n/a;n/a;days;10.1002/stem.1897;n/a;;;;;
#ÑÑÛËÊÀ!;Hoxb7;HOXB7;decrease;decreased gene expression;mRNA;heart;mouse;FVB/N;both;-95,00;<0.05;n/a;n/a;11;180;n/a;n/a;days;10.1002/stem.1897;n/a;;;;;
#ÑÑÛËÊÀ!;Hpgd;HPGD;increase;increased gene expression;mRNA;heart;mouse;C57BL/6;both;30,00;;n/a;n/a;3;26;n/a;n/a;months;10.1126/science.abc8059;n/a;;;;;
#ÑÑÛËÊÀ!;Ifng;IFNG;decrease;decreased gene expression;mRNA;heart;mouse;BALB/c;n/a;n/a;;n/a;n/a;2;25;n/a;n/a;months;10.1089/107999000312342;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp2;IGFBP2;decrease;decreased gene expression;mRNA;hematopoietic stem cells;mouse;C57BL/6;both;-50,00;;n/a;n/a;4;12;n/a;n/a;months;10.1055/s-0030-1262854;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp2;IGFBP2;decrease;decreased gene expression;mRNA;hematopoietic stem/progenitor cells;mouse;C57BL/6;both;-40,00;;n/a;n/a;2;24;n/a;n/a;months;10.1055/s-0030-1262854;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp3;IGFBP3;decrease;decreased gene expression;mRNA;hippocampus;mouse;C57BL/6;male;-50,00;;n/a;n/a;2;18;n/a;n/a;months;10.1111/j.1474-9726.2008.00372.x;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp3;IGFBP3;decrease;decreased gene expression;mRNA;hippocampus;mouse;C57BL/6;male;-80,00;;n/a;n/a;2;22;n/a;n/a;months;10.1111/j.1474-9726.2008.00372.x;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;hippocampus;mouse;C57BL/6 x 129;male;-5,80;ns;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;hippocampus;mouse;C57BL/6 x 129;male;-32,70;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;intestine;mouse;C57BL/6 x 129;female;-50,80;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;intestine;mouse;C57BL/6 x 129;female;-47,60;ns;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6 x 129;male;-36,00;< 0.05;n/a;n/a;6;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6 x 129;male;-44,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6 x 129;female;-44,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;hippocampus;mouse;C57BL/6 x 129;male;112,50;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;hippocampus;mouse;C57BL/6 x 129;male;195,80;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;intestine;mouse;C57BL/6 x 129;female;62,50;ns;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;intestine;mouse;C57BL/6 x 129;female;121,90;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;intestine;mouse;C57BL/6 x 129;male;83,00;ns;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6 x 129;male;100,00;< 0.05;n/a;n/a;6;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Igfbp5;IGFBP5;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6 x 129;female;228,60;< 0.05;n/a;n/a;6;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;700,00;;n/a;n/a;5.5;24.5;n/a;n/a;months;10.1093/gerona/glp046;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;700,00;;n/a;n/a;5.5;24.5;n/a;n/a;months;10.1093/gerona/glp046;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;470,00;;n/a;n/a;5.5;24.5;n/a;n/a;months;10.1093/gerona/glp046;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;700,00;;n/a;n/a;5.5;24.5;n/a;n/a;months;10.1093/gerona/glp046;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;430,00;;n/a;n/a;5.5;24.5;n/a;n/a;months;10.1093/gerona/glp046;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;540,00;;n/a;n/a;5.5;24.5;n/a;n/a;months;10.1093/gerona/glp046;n/a;;;;;
#ÑÑÛËÊÀ!;Il6;IL6;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;male;190,00;;n/a;n/a;5.5;23;n/a;n/a;months;10.4049/jimmunol.179.7.4829;n/a;;;;;
#ÑÑÛËÊÀ!;Il7;IL7;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/10;both;-30,00;;n/a;n/a;5;10;n/a;n/a;months;10.1016/S0531-5565(01)00213-3;n/a;;;;;
#ÑÑÛËÊÀ!;Il7;IL7;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/10;both;-60,00;;n/a;n/a;5;24;n/a;n/a;months;10.1016/S0531-5565(01)00213-3;n/a;;;;;
#ÑÑÛËÊÀ!;Itga2;ITGA2;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;both;56,00;;n/a;n/a;4;11;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
#ÑÑÛËÊÀ!;Itga2;ITGA2;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;both;96,00;;n/a;n/a;4;23.5;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
#ÑÑÛËÊÀ!;Itga3;ITGA3;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6;both;-26,00;;n/a;n/a;4;23.5;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
#ÑÑÛËÊÀ!;Itgae;ITGAE;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;both;129,00;;n/a;n/a;4;11;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
#ÑÑÛËÊÀ!;Itgae;ITGAE;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;both;94,00;;n/a;n/a;4;23.5;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
#ÑÑÛËÊÀ!;Itgb1;ITGB1;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6;both;-18,00;;n/a;n/a;4;23.5;n/a;n/a;months;10.1152/ajpendo.00040.2016;n/a;;;;;
#ÑÑÛËÊÀ!;Itgb3;ITGB3;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;female;38,00;;n/a;n/a;4;19;n/a;n/a;months;10.1016/j.celrep.2017.02.012;n/a;;;;;
#ÑÑÛËÊÀ!;Itgb3;ITGB3;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;female;107,00;;n/a;n/a;4;25;n/a;n/a;months;10.1016/j.celrep.2017.02.012;n/a;;;;;
#ÑÑÛËÊÀ!;Itgb3;ITGB3;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;female;91,00;;n/a;n/a;4;25;n/a;n/a;months;10.1016/j.celrep.2017.02.012;n/a;;;;;
#ÑÑÛËÊÀ!;Itgb3;ITGB3;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;female;28,00;;n/a;n/a;4;25;n/a;n/a;months;10.1016/j.celrep.2017.02.012;n/a;;;;;
#ÑÑÛËÊÀ!;Jun;JUN;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6;n/a;n/a;;n/a;n/a;3;30;n/a;n/a;months;10.1016/j.exger.2012.02.006;n/a;;;;;
#ÑÑÛËÊÀ!;Kdr;KDR;decrease;decreased gene expression;mRNA;kidney;mouse;ICR;male;-92,70;;n/a;n/a;11;65;n/a;n/a;weeks;10.1016/j.exger.2005.01.009;n/a;;;;;
#ÑÑÛËÊÀ!;Lair1;LAIR1;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;both;390,00;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;10.1016/j.stemcr.2021.04.016;n/a;;;;;
#ÑÑÛËÊÀ!;Lama3;LAMA3;decrease;decreased gene expression;mRNA;kidney;mouse;BALB/c;both;-60,00;;n/a;n/a;3;104;n/a;n/a;weeks;10.1371/journal.pone.0150966;n/a;;;;;
#ÑÑÛËÊÀ!;Lama3;LAMA3;decrease;decreased gene expression;mRNA;kidney;mouse;B10.BR;both;-53,00;;n/a;n/a;3;52;n/a;n/a;weeks;10.1371/journal.pone.0150966;n/a;;;;;
#ÑÑÛËÊÀ!;Lama4;LAMA4;decrease;decreased gene expression;mRNA;kidney;mouse;BALB/c;both;-54,00;;n/a;n/a;3;104;n/a;n/a;weeks;10.1371/journal.pone.0150966;n/a;;;;;
#ÑÑÛËÊÀ!;Lama4;LAMA4;decrease;decreased gene expression;mRNA;kidney;mouse;B10.BR;both;-80,00;;n/a;n/a;3;52;n/a;n/a;weeks;10.1371/journal.pone.0150966;n/a;;;;;
#ÑÑÛËÊÀ!;Lamb1;LAMB1;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6;male;238,00;;n/a;n/a;3;18;n/a;n/a;months;10.1161/ATVBAHA.117.310685 ;n/a;;;;;
#ÑÑÛËÊÀ!;Lef1;LEF1;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6J;male;50,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Lef1;LEF1;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6J;male;-95,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Lef1;LEF1;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6J;male;-90,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Lef1;LEF1;decrease;decreased gene expression;mRNA;kidney;mouse;C57BL/6J;male;-65,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Lef1;LEF1;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;male;560,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Lef1;LEF1;increase;increased gene expression;mRNA;kidney;mouse;C57BL/6J;male;340,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Lix1;LIX1;decrease;decreased gene expression;mRNA;kidney;mouse;n/a;both;-95,00;;n/a;n/a;7;56;n/a;n/a;days;10.1016/s1567-133x(02)00018-2;n/a;;;;;
#ÑÑÛËÊÀ!;Lmnb1;LMNB1;decrease;decreased gene expression;mRNA;left ventricle;mouse;C57BL/6;both;-56,00;;n/a;n/a;17;120;n/a;n/a;weeks;10.1111/acel.13094;n/a;;;;;
#ÑÑÛËÊÀ!;Lmnb1;LMNB1;decrease;decreased gene expression;mRNA;left ventricle;mouse;C57BL/6;both;-69,00;;n/a;n/a;17;120;n/a;n/a;weeks;10.1111/acel.13094;n/a;;;;;
#ÑÑÛËÊÀ!;Mdm2;MDM2;decrease;decreased gene expression;mRNA;left ventricle;mouse;C57BL/6;male;-40,00;;n/a;n/a;3;24;n/a;n/a;months;10.2337/db18-0684;n/a;;;;;
#ÑÑÛËÊÀ!;Mmp9;MMP9;decrease;decreased gene expression;mRNA;left ventricle;mouse;C57BL/6J;both;-53,00;;n/a;n/a;0.79;5.75;n/a;n/a;months;10.1111/wrr.12524;n/a;;;;;
#ÑÑÛËÊÀ!;Mmp9;MMP9;increase;increased gene expression;mRNA;left ventricle;mouse;C57BL/6J;both;72,00;;n/a;n/a;8;21;n/a;n/a;months;10.1093/cvr/cvs275 ;n/a;;;;;
#ÑÑÛËÊÀ!;Mmp9;MMP9;increase;increased gene expression;mRNA;left ventricle;mouse;C57BL/6J;both;81,00;;n/a;n/a;8;30;n/a;n/a;months;10.1093/cvr/cvs275 ;n/a;;;;;
#ÑÑÛËÊÀ!;Mmp9;MMP9;increase;increased gene expression;mRNA;left ventricle;mouse;C57BL/6J;both;15,00;;n/a;n/a;0.79;17;n/a;n/a;months;10.1111/wrr.12524;n/a;;;;;
#ÑÑÛËÊÀ!;Mt-Co1;MT-CO1;increase;increased gene expression;mRNA;left ventricle;mouse;C57BL/6;n/a;n/a;;n/a;n/a;2;24;n/a;n/a;months;10.1016/j.exger.2013.01.005;n/a;;;;;
#ÑÑÛËÊÀ!;Myc;MYC;increase;increased gene expression;mRNA;left ventricle;mouse;C57BL/6J;male;108,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Ncor2;NCOR2;increase;increased gene expression;mRNA;left ventricle;mouse;C57BL/6;male;135,00;;n/a;n/a;2;6;n/a;n/a;months;10.1016/j.cmet.2010.11.007;n/a;;;;;
#ÑÑÛËÊÀ!;Ncor2;NCOR2;increase;increased gene expression;mRNA;liver;mouse;C57BL/6;male;93,00;;n/a;n/a;2;6;n/a;n/a;months;10.1016/j.cmet.2010.11.007;n/a;;;;;
#ÑÑÛËÊÀ!;Nfe2l2;NFE2L2;decrease;decreased gene expression;mRNA;liver;mouse;wild type;both;-21,00;;n/a;n/a;3.5;23;n/a;n/a;months;10.18632/aging.102234;n/a;;;;;
#ÑÑÛËÊÀ!;Nfe2l2;NFE2L2;increase;increased gene expression;mRNA;liver;mouse;wild type;both;15,00;;n/a;n/a;3.5;13;n/a;n/a;months;10.18632/aging.102234;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkb1;NFKB1;decrease;decreased gene expression;mRNA;liver;mouse;SAMR1;male;-17,00;;n/a;n/a;2;10;n/a;n/a;months;10.1111/j.1600-079X.2010.00800.x;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkb1;NFKB1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6;male;446,00;<0.05;n/a;n/a;2;16;n/a;n/a;weeks;10.1007/s11033-012-2219-2;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkb1;NFKB1;increase;increased gene expression;mRNA;liver;mouse;SAMP8;male;140,00;;n/a;n/a;2;10;n/a;n/a;months;10.1111/j.1600-079X.2010.00800.x;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkb2;NFKB2;increase;increased gene expression;mRNA;liver;mouse;C57BL/6;male;389,50;<0.05;n/a;n/a;2;16;n/a;n/a;weeks;10.1007/s11033-012-2219-2;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkb2;NFKB2;increase;increased gene expression;mRNA;liver;mouse;SAMR1;male;7,00;;n/a;n/a;2;10;n/a;n/a;months;10.1111/j.1600-079X.2010.00800.x;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkb2;NFKB2;increase;increased gene expression;mRNA;liver;mouse;SAMP8;male;166,00;;n/a;n/a;2;10;n/a;n/a;months;10.1111/j.1600-079X.2010.00800.x;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkbia;NFKBIA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;59,70;;n/a;n/a;2;4;n/a;n/a;months;10.1186/s12974-020-01774-9;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkbia;NFKBIA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;226,60;;n/a;n/a;2;6;n/a;n/a;months;10.1186/s12974-020-01774-9;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkbia;NFKBIA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;159,60;;n/a;n/a;2;9;n/a;n/a;months;10.1186/s12974-020-01774-9;n/a;;;;;
#ÑÑÛËÊÀ!;Nfkbia;NFKBIA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;188,90;;n/a;n/a;2;12;n/a;n/a;months;10.1186/s12974-020-01774-9;n/a;;;;;
#ÑÑÛËÊÀ!;Nipsnap1;NIPSNAP1;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;female;-17,00;<0.025;n/a;n/a;4;18;n/a;n/a;months;10.1002/hipo.20703;n/a;;;;;
#ÑÑÛËÊÀ!;Nlrp3;NLRP3;increase;increased gene expression;mRNA;liver;mouse;wild type;both;41,00;;n/a;n/a;3.5;13;n/a;n/a;months;10.18632/aging.102234;n/a;;;;;
#ÑÑÛËÊÀ!;Nlrp3;NLRP3;increase;increased gene expression;mRNA;liver;mouse;wild type;both;196,00;;n/a;n/a;3.5;23;n/a;n/a;months;10.18632/aging.102234;n/a;;;;;
#ÑÑÛËÊÀ!;Nox4;NOX4;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;65,00;;n/a;n/a;4;16;n/a;n/a;months;10.1016/j.yjmcc.2016.12.004;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6J;female;-40,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6J;male;-85,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;female;94,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;47,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Nrip1;NRIP1;increase;increased gene expression;mRNA;liver;mouse;C57BL/6J;male;67,00;;n/a;n/a;6;18;n/a;n/a;months;10.1093/gerona/glx257;n/a;;;;;
#ÑÑÛËÊÀ!;Opn3;OPN3;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6;n/a;n/a;;n/a;n/a;2;20;n/a;n/a;months;10.1111/acel.13021;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;-43,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;-30,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;-80,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;-48,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;-84,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;decrease;decreased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;-58,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;218,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;86,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;213,00;< 0.05;n/a;n/a;1;6;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;75,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;107,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;83,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;female;100,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
#ÑÑÛËÊÀ!;Pappa;PAPPA;increase;increased gene expression;mRNA;liver;mouse;C57BL/6 x 129;male;173,00;< 0.05;n/a;n/a;1;18;n/a;n/a;months;10.1016/j.exger.2014.04.011;n/a;;;;;
